Кіберзахист;Держспецзв’язку
Кіберпростір;Війна
Хакерські угруповання;Спецслужби рф
Кіберзлочинці;Хактивісти
Інформаційні системи;Україна
CERT-UA;Підрозділи Сил Оборони
Кібератаки;ИТ-інфраструктур
Операції знищення;ІТ-системи
Інформаційні приводи;Кіберперемоги
Хакери;Вразливі місця
Інфраструктура;Організації
Кіберкомпоненти;Зворотний зв'язок
Кібератааки;Присутність в системах
Постачальники послуг;Театр бойових дій
Кібербезпека;кіберінциденти
Кібербезпека;кіберзахист
Кіберінциденти;штатистика
Кіберінциденти;кількісні показники
Кібербезпека;кіберзагрози
Кіберзагрози;російські хакерські угруповання
Кібербезпека;статистика
Кібербезпека;ефективні стратегії протидії
Кібербезпека;навички з кіберзахисту
Кіберінциденти;інциденти критичного та високого рівнів
Кібербезпека;кооперація підрозділів Держспецзвʼязку
Кібербезпека;оперативний центр реагування на кіберінциденти
Кібербезпека;індикатори реагування на кіберінциденти
Кіберзагроз;кіберінциденти
CERT-UA;kіберінциденти
Кібератак;кіберінциденти
SIEM;кібербезпека
NDR;EDR
SOC;kібербезпека
Оперативний центр реагування на кіберінциденти;кібербезпека
Урядові організації;кібербезпека
Кібербезпека;локальні органи влади
Сектор безпеки та оборони;кібербезпека
Енергетичний сектор;кібербезпека
Кіберінциденти;статистика
Кіберпростір;кібербезпека
Вірус;кібербезпека
Архіви;kібербезпека
Пошта;kібербезпека
Кібератак;шпигунство
Кіберзагроз;кібербезпека
UAC-0184;kібершпіонаж
UAC-0027;kібершпіонаж
UAC-0195;викрадення акаунтів
кібершпіонаж;UAC-0020
кібершпіонаж;рф
атаки на фінансові установи;Україна
кібершпіонаж;UAC-0063
кібершпіонаж;UAC-0180
хакерське угруповання;UAC-0050
кібершпіонаж;UAC-0149
кібершпіонаж;UAC-0184
атаки на Сил Оборони України;таргетовані
кібершпіонаж;ФСБ рф
хакерські групи;Україна
кластери загроз;росгвардія мвд рф спецзвʼязок фсо рф генштаб рф
фіансvoї хакерські групи;ANOМАЛЬНІ ЗМІНИ
кібератаки;віруси-шифрувальники
кібербезпека;резервні копії
кібершпіонаж;UAC-0006
МАСОВІ КАМПАНІЇ;викрадення доступу до месенджерів
акери;ШПЗ
акери;фішинг
фішинг;скомпрометувати користувачів
Спецслужби;кібершпигунство
Компрометація;облікові записи
ШПЗ;бекдори
Піратське ПЗ;інфікування системи
Закордонні партнери;ліцензійне ПЗ
Ліцензійне ПЗ;безпека
Архівні дані;доступ до хмарних сервісів
Шпигунство;компрометація
Кібершпигунство;фінансова вигода
ШПЗ;інфікування систем
Піратське ПЗ;бекдори
Безпека;ліцензійне chươngне забезпечення
Військові;цивільні організації
Інструментарій;аналіз TTP
Кластеризація угруповання;ШПЗ
СIGNAL;таргетовані розвідувальні операції
Групи UAC-0184;військові дані
Месенджери;комуникація
Контактний телефон;інформаційна безпека
Кібербезпека;कіберінциденти
Втертися в довіру;фішинг
Архів з файлом-ярликом;шкідлива програма
Файл-приманка;програма для віддаленого управління
Запит інформації;фішинг
Залякування;військовослужбовець
Винагорода;переведення
MITRE ATT&CK;Initial Access
Phishing;Spearphishing Attachment
Command and Scripting Interpreter;PowerShell
User Execution;Мальвстановлення
Defense Evasion;Deobfuscate/Decode
Hide Artifacts;Hidden Window
Masquerading;Subvert Trust Controls
Collection;Archive Collected Data
Command and Control;Application Layer Protocol
Кібербезпека;кіберінциденти
Ланцюга ураження;кібербезпека
УГРУповання;кібербезпека
електронний лист;фішинг
технічні характеристики;електронний лист
RARSFX-архів;малювання програмного забезпечення
ЕХЕ-інсталятор;малювання програмного забезпечення
BAT-файл;малювання програмного забезпечення
SPECTR;шкідливе програмне забезпечення
SyncThing;ексфільтрація даних
Phishing;фішинг
Command and Scripting Interpreter;JavaScript
User Execution;Маруious File
Scheduled Task/Job;Сховані задачі
Defense Evasion;Маскування
Masquerading;двійна розширення файла
Credential Access;крадіжка даних
Steal Application Access Token;крадіжка токену
Steal Web Session Cookie;крадіжка сесійного файлу
Automated Collection;автоматична збір даних
Data Staged;стадія даних
Data from Local System;дані з локальної системи
Data from Removable Media;дані з носіїв інформації
Screen Capture;захоп екрана
Command and Control;керування та командування
Application Layer Protocol;протокол приладів
Proxy;проксі-сервер
Exfiltration;ексфільтрація даних
Automated Exfiltration;автоматична ексфільтрація
Exfiltration Over Alternative Protocol;ексфільтрація по альтернативному протоколу
Кібербезпека; кіберінциденти
Кібератаки;(financial institutions)
Архіви-поліглоти;шкідлива програма
SmokeLoader;TALESHOT
TALESHOT;екрана
UAC-0006;RMS + LOADERX3 + RDPWRAPPER
RDPWRAPPER;інтерактивний доступ
Кібербезпека;вебверсія
Кіберінциденти;Оперативним центром
MITRE ATT&CK;Initial Access
Initial Access;Phishing
Phishing;Spearphishing Attachment
Spearphishing Attachment;Command and Scripting Interpreter
Command and Scripting Interpreter;PowerShell
PowerShell;Windows Command Shell
Windows Command Shell;Scheduled Task/Job
Scheduled Task/Job;Scheduled Task
Scheduled Task;User Execution
User Execution;Malicious File Persistence
Malicious File Persistence;Boot or Logon Autostart
Registry Run Keys;Defense Evasion
Impair Defenses;System Firewall
Masquerading;Double File Extension
Obfuscated Files or Information;Command Obfuscation
Subvert Trust Controls;Mark-of-the-Web Bypass
Command and Control; Application Layer Protocol
Messaging Apps;Account Compromise
WhatsApp;Telegram
Russian Hackers;Ukraine Citizens
Spying;Data Theft
Phishing;Financial Fraud
Malicious Website;WhatsApp Code
Compromised WhatsApp Account;Stolen Credentials
Signed Petition;Fake Presidential Website
Authentication;WhatsApp Account Compromise
Кібербезпека;Кіберінцидент
